Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Даньків,Климент,Юрійович,Чоловіча,15.05.2001,Співак,селище Сколе,"провулок 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 70, Татарбунари, 46403",+380 75 724-27-17,skyrdaorest@example.org
Туркало,Антон,Іванович,Чоловіча,22.11.1991,Графік,місто Іловайськ,"узвіз Грузинська, буд. 23, Тульчин, 35504",178-87-45,idanchenko@example.org
Гресь,Костянтин,Олександрович,Чоловіча,10.09.1939,Графік,селище Білопілля,"сквер Асєєва Юрія, буд. 9, Пустомити, 81642",+380 73 049-05-01,viacheslav99@example.com
Конопля,Захар,Петрович,Чоловіча,04.01.2000,Ботанік,село Алчевськ,"проспект Шкільний, буд. 1, Глобине, 19509",+380 (20) 766-16-78,jchalyi@example.org
Тесленко,Венедикт,Іванович,Чоловіча,23.07.1985,Фотограф,селище Світловодськ,"набережна Училищна, буд. 31 кв. 610, Золотоноша, 46624",079 354-93-49,oleksandrartiushenko@example.net
Малишко,Лесь,Анатолійович,Чоловіча,12.06.1984,Правник,місто Яворів,"площа Чернігівський, буд. 123, Новомосковськ, 85669",479-45-58,ostap86@example.net
Заруба,Климент,Петрович,Чоловіча,15.08.2008,Вчитель,хутір Боярка,"вулиця Київське, буд. 63 кв. 956, Ужгород, 82741",+380 47 791-35-59,ielysei48@example.net
Штокало,Ігнат,Юрійович,Чоловіча,11.07.1949,Музикант,селище Зимогір'я,"провулок Гастелло, буд. 5, Бахмут, 86249",+380 21 172 86 45,valeriibezborodko@example.com
Смик,Іван,Олегович,Чоловіча,05.11.1981,Хімік,хутір Святогірськ,"вулиця Яблочкіної, буд. 932, Помічна, 76728",+380 84 510-38-52,artem75@example.net
Піддубний,Микита,Вікторович,Чоловіча,28.06.1948,Промисловець,місто Олевськ,"шосе Об'їзна дорога, буд. 857 кв. 9, Тлумач, 65621",+380 36 411 96 90,solomiiamazur@example.org
Абрамчук,Гаврило,Анатолійович,Чоловіча,11.11.1968,Намотувальник,хутір Вишгород,"площа Лиманчик 2-й Лінія 11-та, буд. 9 кв. 445, Краматорськ, 17656",608-78-79,tykhyimartyn@example.com
Жадан,Орест,Вікторович,Чоловіча,01.12.1986,Секретар,хутір Охтирка,"сквер Незалежності, буд. 09 кв. 4, Зугрес, 19642",069 397 53 32,haidamakaielysaveta@example.com
Шахрай,Єфрем,Юрійович,Чоловіча,31.12.1955,Філолог,місто Кіцмань,"вулиця Десятого квітня, буд. 5 кв. 434, Авдіївка, 40431",+380 27 943-43-13,lysenkoillia@example.org
Дубина,Віктор,Іванович,Чоловіча,25.10.2000,Прокурор,хутір Щастя ,"проспект Лютневий 2-й, буд. 12, Новоазовськ, 48130",418-64-74,anzhela18@example.com
Яременко,Нестор,Олександрович,Чоловіча,25.07.1983,Няня,хутір Вараш,"вулиця Харківська, буд. 4 кв. 0, Сновськ, 21277",075 026 78 58,trokhym81@example.net
Доценко,Венедикт,Іванович,Чоловіча,11.04.1992,Зоолог,село Луцьк,"проспект Перепечка, буд. 3 кв. 0, Приморськ (Україна), 41363",025 714-47-94,oleksa50@example.com
Акименко,Гаврило,Олександрович,Чоловіча,05.10.1950,М'ясник,селище Коростишів,"площа 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 798, Миколаївка , 61868",021 740-51-64,irena95@example.org
Баранник,Олександр,Вікторович,Чоловіча,06.07.1970,Кінорежисер,місто Попасна,"набережна Ланжерон, буд. 4 кв. 2, Тальне, 46951",091 907-26-41,izhakmaksym@example.com
Дейнека,Ілля,Вікторович,Чоловіча,18.03.1982,Архітектор,селище Чигирин,"проспект Щукіна, буд. 898 кв. 8, Глухів, 12136",912 93 09,tiurchyshyn@example.org
Дацюк,Віталій,Юрійович,Чоловіча,23.10.1981,Стиліст,село Мена ,"сквер Задніпровського, буд. 2, Новогродівка, 42536",037 418-87-00,aleksandrenkoielysaveta@example.com
Шеремета,Юхим,Олександрович,Чоловіча,24.03.2005,Музикант,місто Антрацит ,"проспект Нескучна, буд. 1 кв. 747, Вишневе , 85160",491-84-53,iryna78@example.com
Бабʼюк,Святослав,Олександрович,Чоловіча,06.02.1978,Геолог,селище Хирів,"парк Теплична, буд. 410 кв. 1, Сокаль, 89280",+380 85 190-48-24,khrystychherman@example.org
Рябошапка,Ярослав,Олександрович,Чоловіча,21.09.1943,Ботанік,село Часів Яр,"шосе Матюшенка, буд. 2 кв. 911, Волочиськ, 19650",+380 24 073 21 25,hrechkomaryna@example.org
Єсипенко,Леон,Іванович,Чоловіча,08.01.1943,Гірник,селище Старокостянтинів,"площа 14-та ст. Великого Фонтану пляж, буд. 066 кв. 6, Гайсин, 28844",+380 35 768-42-56,eduard95@example.org
Венгринович,Мартин,Анатолійович,Чоловіча,21.06.1985,Водій,хутір Попасна,"набережна Грецький, буд. 0, Червоносів, 21207",046 295-50-99,kozachenkobohuslava@example.net
Карпенко,Петро,Олексійович,Чоловіча,20.05.1955,Парфюмер,селище Новояворівськ,"шосе Проектний 5-й, буд. 777, Попасна, 61018",+380 (42) 496-79-61,habelkoiaryna@example.org
Устенко,Віктор,Іванович,Чоловіча,25.07.1959,Піаніст,місто Зеленодольськ,"сквер Пресича Олександра, буд. 981 кв. 2, Яворів, 12279",014 580-72-01,hzakusylo@example.net
Рудик,Павло,Юрійович,Чоловіча,30.01.2003,Реставратор,місто Рава-Руська,"провулок Пушкінська, буд. 07, Мар'їнка, 28081",+380 42 107-08-74,ruslan11@example.org
Мазур,Климент,Юрійович,Чоловіча,07.09.2008,Філолог,село Токмак,"площа Амбулаторна, буд. 2 кв. 7, Хуст, 41863",+380 93 701-54-44,mariana03@example.org
Василенко,Йосип,Іванович,Чоловіча,27.06.1977,Швачка,хутір Могилів-Подільський,"провулок Іцхака Рабіна, буд. 5 кв. 4, Дубровиця, 60876",+380 30 015-15-02,stanislav70@example.com
Перепелиця,Соломон,Іванович,Чоловіча,28.08.1979,Фотограф,село Малин,"сквер Олександра Блока, буд. 06 кв. 0, Белз, 19572",060 333-37-73,orysia36@example.com
Тригуб,Єлисей,Юрійович,Чоловіча,12.12.1993,Петрограф,місто Інкерман,"набережна Глухий міст, буд. 643, Ватутіне, 82809",+380 36 808 07 14,iustyna07@example.org
Конопленко,Симон,Іванович,Чоловіча,02.10.1957,Стиліст,хутір Нововолинськ,"вулиця Осипова, буд. 35, Камінь-Каширський, 64739",+380 95 211 87 83,nehodahryhorii@example.org
Гузенко,Пилип,Петрович,Чоловіча,04.05.1952,Різноробочий,хутір Червоносів,"площа Геологічна, буд. 338 кв. 80, Люботин, 71759",+380 26 578 25 27,dannahaidamaka@example.com
Величко,Олег,Вікторович,Чоловіча,25.09.1967,Штукатур,хутір Армянськ,"парк 15-та Суворовська, буд. 5 кв. 094, Одеса, 50472",734-70-46,myroslav17@example.com
Назаренко,Вʼячеслав,Вікторович,Чоловіча,22.05.1962,Фізик,село Кагарлик,"шосе Аеропортівський 6-й, буд. 5 кв. 5, Берегове, 01121",+380 (08) 907-74-56,kamilladotsenko@example.net
Царенко,Трохим,Юрійович,Чоловіча,07.05.1955,М'ясник,хутір Тульчин,"парк Фестивальний, буд. 4, Нововолинськ, 12727",181 25 21,chumachenkomaksym@example.com
Шутько,Герман,Іванович,Чоловіча,25.02.1952,Лікар,село Ірпінь,"сквер Друга, буд. 20 кв. 026, Покровськ, 12190",+380 82 879 87 92,ielyseibabarychenko@example.net
Тесленко,Тимофій,Олексійович,Чоловіча,21.11.1986,Паблік рилейшнз,село Угнів,"провулок Інтернаціональний, буд. 4, Сторожинець, 71127",+380 32 279-49-51,erikadrozd@example.com
Дейнека,Макар,Олексійович,Чоловіча,13.05.1970,Скульптор,село Білопілля,"проспект Тещин міст, буд. 49 кв. 1, Ківерці, 42324",084 833 50 39,eolifirenko@example.org
Перепелиця,Мирон,Іванович,Чоловіча,20.03.1999,Сантехнік,місто Кагарлик,"проспект Івана Франка, буд. 42, Кропивницький, 76627",997 72 95,omelianeibozhenko@example.org
Саєнко,Устим,Іванович,Чоловіча,04.03.1947,Музикознавець,селище Самбір,"сквер Кристаловського, буд. 86, Львів, 48984",019 906 16 85,roksolanaskyba@example.net
Бараник,Богдан,Юрійович,Чоловіча,20.04.1982,Клоун,хутір Моршин,"площа Павлова, буд. 820 кв. 1, Кролевець, 72718",052 177 46 37,cdzhun@example.net
Наливайко,Святослав,Іванович,Чоловіча,21.05.1986,Вчитель,селище Оріхів,"набережна Осипова, буд. 74, Рахів, 25595",082 321 78 82,nazarenkodavyd@example.org
Алексеєнко,Ростислав,Анатолійович,Чоловіча,29.06.1943,Бухгалтер,хутір Молодогвардійськ,"площа Дунаєва, буд. 817, Кальміуське, 99718",+380 16 920-50-98,dhodunok@example.org
Андрощук,Семен,Олексійович,Чоловіча,13.01.2006,Хімік,село Сімферополь,"проспект Березовий, буд. 538, Рожище, 60932",+380 69 061-41-94,vivcharenkosymon@example.org
Доценко,Марко,Петрович,Чоловіча,25.06.1940,Детектив,селище Жданівка,"набережна Слобідський узвіз, буд. 013, Мукачево, 97212",346-03-52,zhaivoroniefrem@example.org
Ящук,Віталій,Юрійович,Чоловіча,15.12.1993,Швачка,селище Хмільник,"вулиця Кифоренка Бориса, буд. 452, Вижниця, 89976",+380 (85) 210-68-26,yverkhola@example.org
Охріменко,Теодор,Іванович,Чоловіча,22.01.1972,Державний службовець,село Новий Калинів,"шосе Місячна, буд. 7 кв. 7, Кам'янець-Подільський, 60301",+380 63 946-22-06,atamaniukalbert@example.com
Михайлюк,Олександр,Іванович,Чоловіча,24.07.1970,Паралегал,село Карлівка,"площа Промислова, буд. 2 кв. 24, Бахмут, 41912",+380 98 500 51 16,alla02@example.net
Авраменко,Григорій,Петрович,Чоловіча,28.07.1989,Локсмайстер,селище Молочанськ,"парк Миколи Огренича, буд. 962 кв. 1, Золоте, 72073",391 35 35,vira41@example.net
Ємельяненко,Августин,Іванович,Чоловіча,07.05.1980,Адвокат,село Докучаєвськ,"площа Вчительська, буд. 882 кв. 694, Новодністровськ, 55521",+380 02 499-57-46,ftelizhenko@example.com
Ніколюк,Олег,Петрович,Чоловіча,26.01.1948,Кінолог,селище Виноградів,"шосе Амбулаторна, буд. 702, Пустомити, 56448",012 26 47,ieshchenkoviktoriia@example.com
Власюк,Євген,Юрійович,Чоловіча,14.12.1980,Сценарист,місто Українка ,"узвіз Сєченова, буд. 8 кв. 53, Звенигородка, 80657",016 281-87-11,vasyllupii@example.com
Карась,Орест,Юрійович,Чоловіча,28.05.1959,Шериф,село Святогірськ,"площа Радісний, буд. 87, Арциз, 12674",+380 28 705-24-84,vasyl31@example.net
Джунь,Леонтій,Юрійович,Чоловіча,30.12.1948,Локсмайстер,місто Коломия,"узвіз Матюшенка, буд. 689 кв. 39, Виноградів, 88260",773 21 54,zhukvolodymyra@example.net
Парасюк,Амвросій,Іванович,Чоловіча,18.07.1980,Музикант,місто Вуглегірськ,"парк Дорожня, буд. 205, Семенівка, 10588",+380 95 970-18-31,mykhailodavydenko@example.org
Євтушенко,Аврелій,Олегович,Чоловіча,22.11.1996,Локсмайстер,місто Великі Мости,"площа Ванцетті, буд. 1, Моршин, 57410",009 867-53-67,klavdiiakhmara@example.org
Теличенко,Зорян,Олександрович,Чоловіча,17.05.1947,Клавішник,село Білопілля,"узвіз Китобійний 2-й, буд. 40, Тростянець, 43626",+380 (69) 405-73-13,batiukerika@example.org
Барабаш,Костянтин,Іванович,Чоловіча,25.03.1995,Кухар,хутір Верхівцеве,"шосе Балтський 8-й, буд. 95 кв. 3, Ківерці, 35243",+380 61 708-29-29,prokhir78@example.com
Чабан,Аарон,Юрійович,Чоловіча,19.03.1948,Фотограф,селище Буринь,"узвіз Чорноморський 1-й, буд. 3 кв. 21, Стебник, 38511",048 617-54-33,fomenkoliubov@example.net
Уманець,Марко,Іванович,Чоловіча,10.11.1967,Співак,селище Гірське,"шосе Державіна, буд. 8, Комарно, 59263",015 926-98-13,mariiakaras@example.net
Притула,Макар,Олексійович,Чоловіча,03.10.1954,Кухар,село Долинська,"проспект Волоколамська, буд. 608, П'ятихатки, 44443",083 217-86-23,trokhym70@example.com
Харченко,Руслан,Олексійович,Чоловіча,02.07.1969,Золотар,хутір Герца,"сквер Чернівецький, буд. 2, Ромни, 50522",+380 (72) 628-47-78,qadamenko@example.net
Яремко,Аврелій,Петрович,Чоловіча,15.12.1969,Бібліограф,селище Жданівка,"набережна Лиманна, буд. 37 кв. 2, Моспине, 17240",360 92 05,odarkazasukha@example.net
Примаченко,Дан,Юрійович,Чоловіча,19.01.1962,Письменник,місто Сніжне,"проспект Гетьманський, буд. 64, Городок, 74801",+380 50 962-95-67,vprykhodko@example.com
Лисенко,Леонід,Іванович,Чоловіча,04.08.2004,Журналіст,селище Алмазна,"провулок Лучиста, буд. 73 кв. 05, Первомайськ, 90867",878 29 12,mykhailoieshchenko@example.com
Овсієнко,Борис,Петрович,Чоловіча,03.06.2001,Секретар,селище Світлодарськ,"площа 411-ї батареї, буд. 75 кв. 70, Рубіжне, 18002",+380 35 230-46-22,smykhailychenko@example.org
Гузенко,Павло,Олександрович,Чоловіча,07.07.1963,Астрофізик,село Покров,"сквер 2-га Суворовська, буд. 765 кв. 0, Монастирище, 15453",013 490 54 00,marusia71@example.com
Алексійчук,Азар,Олександрович,Чоловіча,25.12.1945,Медик,місто Корець,"сквер Восьмого березня, буд. 768 кв. 19, Зміїв, 37920",030 978-40-23,odarkaholoborodko@example.net
Скиба,Остап,Анатолійович,Чоловіча,21.02.1948,Складальник,місто Ізяслав,"сквер Молокова, буд. 6 кв. 7, Харцизьк, 28897",+380 06 892 44 26,spas30@example.com
Лаба,Леон,Іванович,Чоловіча,21.07.2005,Стропальник,село Новомосковськ,"вулиця Камишова, буд. 3 кв. 612, Селидове, 28364",087 510 76 70,yromanenko@example.net
Жаліло,Хома,Іванович,Чоловіча,18.11.1989,Електрик,місто Радомишль,"узвіз Луценка Івана, буд. 614 кв. 244, Тульчин, 82089",+380 (25) 892-90-06,ielysaveta66@example.com
Корж,Омелян,Вікторович,Чоловіча,05.09.1970,Літературознавець,місто Вижниця,"набережна Штурманська, буд. 20 кв. 71, Рава-Руська, 41440",972-30-71,ievdokymenkoiukhym@example.com
Карпа,Опанас,Іванович,Чоловіча,27.02.2001,Клоун,місто Кам'янка-Бузька,"узвіз Морехідна, буд. 5, Андрушівка, 33336",210 74 46,hhavryshkevych@example.com
Фесенко,Данило,Іванович,Чоловіча,27.03.2007,Біолог,хутір Енергодар,"сквер Миколи Огренича, буд. 37, Добропілля, 71376",036-69-13,myron00@example.com
Байрак,Артем,Петрович,Чоловіча,30.04.1967,Піаніст,село Тернівка ,"сквер Андреєвського, буд. 6, Чернівці, 02426",+380 44 416-31-60,avrelii27@example.org
Дурдинець,Герман,Іванович,Чоловіча,10.04.1956,Соціолог,селище Угнів,"шосе Супутників, буд. 83 кв. 3, Куп'янськ, 27905",081 960 64 32,xiefymenko@example.net
Забара,Богодар,Іванович,Чоловіча,28.02.1975,Гінеколог,хутір Дубно,"парк Бузковий 1-й, буд. 626, Сокиряни, 54577",004 736-38-82,iaroslavadanchenko@example.org
Даценко,Омелян,Іванович,Чоловіча,18.07.1966,Геолог,місто Докучаєвськ,"вулиця Флотський 3-й, буд. 1 кв. 78, Новоукраїнка, 47827",+380 (47) 741-08-99,ishchenkodavyd@example.org
Павленко,Лукʼян,Іванович,Чоловіча,02.09.2000,Кушнір,місто Бобринець,"шосе Діхтієвського Віктора, буд. 016, Гребінка, 88501",+380 89 286-30-28,cstus@example.com
Швачка,Пилип,Олександрович,Чоловіча,08.07.1960,Педагог,селище Боково-Хрустальне,"шосе Грузовий, буд. 6 кв. 6, Енергодар, 58575",033 775 57 63,demyd76@example.com
Ковалюк,Омелян,Іванович,Чоловіча,21.02.1976,Гицель,хутір Ворожба,"проспект Стеценко, буд. 749 кв. 68, Хоростків, 34215",676-71-77,bohdannanalyvaiko@example.com
Шеремета,Валерій,Анатолійович,Чоловіча,07.06.1979,Палеонтолог,селище Ржищів,"вулиця Шишкіна 1-й, буд. 45, Тлумач, 08028",+380 (84) 603-82-68,telizhenkoopanas@example.net
Безбородько,Костянтин,Петрович,Чоловіча,21.12.1996,Адвокат,місто Синельникове,"вулиця Пугачова, буд. 776, Кремінна, 54012",499-45-36,iosypdankiv@example.org
Товстоліс,Ростислав,Олегович,Чоловіча,12.03.2001,Живописець,село Перечин,"парк Лермонтовський, буд. 417 кв. 53, Заводське, 99799",+380 13 251-34-23,romanruban@example.com
Конопленко,Зорян,Іванович,Чоловіча,21.07.1962,Підприємець,місто Жовква,"набережна Селищна, буд. 42, Лебедин, 78897",+380 (61) 530-18-72,rshvaika@example.com
Баранник,Хома,Іванович,Чоловіча,24.03.2000,Каскадер,село Перевальськ,"узвіз Михайла Грушевського, буд. 3, Лубни, 73722",098 401 26 69,everhun@example.net
Титаренко,Данило,Олегович,Чоловіча,20.07.1990,Епідеміолог,село Перевальськ,"парк Колонічна, буд. 55, Підгайці, 26625",094-07-98,danna88@example.net
Верховинець,Гліб,Юрійович,Чоловіча,22.08.1973,Реабілітолог,село Могилів-Подільський,"парк Текстильників, буд. 9 кв. 244, Євпаторія, 20626",096 730-31-13,ihorbaranyk@example.net
Гузенко,Станіслав,Юрійович,Чоловіча,07.01.1980,Психолог,село Дергачі,"парк Павла Шклярука, буд. 496, Помічна, 84078",073 641-08-34,svitlanakolisnychenko@example.com
Атрощенко,Леон,Анатолійович,Чоловіча,18.03.1943,Електромонтер,селище Харцизьк,"вулиця Князівська, буд. 5, Рудки, 68189",+380 11 639 93 53,okseniiahres@example.com
Франчук,Едуард,Іванович,Чоловіча,12.04.1990,Круп'є,хутір Тиврів,"шосе Шилова, буд. 3 кв. 06, Довжанськ, 03156",513 13 81,stuszlatoslava@example.net
Опанасенко,Борислав,Анатолійович,Чоловіча,20.12.1973,Гірник,місто Кам'янка (Черкаська область),"шосе Шилова, буд. 32 кв. 37, Сватове, 42687",+380 (43) 825-17-17,qnosachenko@example.net
Царенко,Онисим,Юрійович,Чоловіча,08.04.1977,Слідчий,село Чернівці,"парк Обільний 1-й, буд. 06 кв. 054, Сєвєродонецьк, 82889",+380 (40) 728-32-59,fedirartiushenko@example.com
Чорновіл,Охрім,Вікторович,Чоловіча,30.05.1946,Ґрунтознавець,селище Сорокине,"узвіз Флотська, буд. 497 кв. 174, Кам'янець-Подільський, 71800",+380 52 237-89-34,ievaorlyk@example.org
Годунок,Пилип,Юрійович,Чоловіча,22.02.1981,Дерун,місто Чернівці,"площа Аеродромна, буд. 890 кв. 109, Зоринськ, 46265",+380 04 967-00-67,hoholoksana@example.net
Мазур,Демид,Юрійович,Чоловіча,30.06.2000,Перекладач,селище Красилів,"вулиця Спартаківський, буд. 00 кв. 7, Пустомити, 23236",+380 70 550-70-63,khoma16@example.net
Хорішко,Геннадій,Іванович,Чоловіча,21.07.1964,Співак,місто Чоп,"вулиця Чорноморський 4-й, буд. 56 кв. 2, Голубівка, 58859",+380 (48) 644-26-06,akorsun@example.net
Перебийніс,Тимофій,Олексійович,Чоловіча,28.12.1987,Ботанік,місто Чугуїв,"проспект Ковалевського узвіз, буд. 317, Боярка, 01466",715-54-00,nataliiabezborodky@example.org
Тесленко,Гліб,Олексійович,Чоловіча,12.08.1958,Кіноактор,місто Сіверськ,"шосе Восьмого березня, буд. 181 кв. 99, Миргород, 80035",057 258 79 67,shutkohryhorii@example.com
Данильчук,Вʼячеслав,Іванович,Чоловіча,18.08.1939,Кінорежисер,хутір Іллінці,"набережна Людмили Гінзбург, буд. 0, Первомайськ, 22854",+380 (57) 869-93-83,miroshnychenkoodarka@example.com
Шутько,Богуслав,Анатолійович,Чоловіча,21.10.1941,Географ,селище Чистякове,"вулиця Аптекарський, буд. 66, Скадовськ, 52990",+380 80 073-12-58,aiemelianenko@example.org
Венгринович,Яків,Вікторович,Чоловіча,16.04.1997,Хореограф,селище Новодружеськ,"площа Морехідний, буд. 670, Жовква, 04313",+380 (62) 995-48-93,ielyseiisaievych@example.com
Макогон,Леон,Іванович,Чоловіча,23.03.1956,Педагог,село Старий Крим,"площа Пілотна, буд. 11 кв. 7, Глобине, 48021",062 925 92 71,rozaliiaostapchuk@example.org
Карпа,Ростислав,Іванович,Чоловіча,07.08.1951,Адвокат,хутір Докучаєвськ,"площа Свободи, буд. 50 кв. 25, Шахтарськ, 33313",+380 10 530-48-16,vira56@example.net
Джунь,Назар,Анатолійович,Чоловіча,24.08.1997,Слідчий,місто Чорноморськ,"площа Докова, буд. 1, Бобринець, 31567",+380 05 658-58-34,roksolanaoliinyk@example.net
Гавришкевич,Орест,Іванович,Чоловіча,12.01.2003,Медик,селище Мостиська,"узвіз Уютна, буд. 8 кв. 80, Саки , 17446",082 228-28-49,alinapelekh@example.com
Жук,Іван,Вікторович,Чоловіча,18.11.1972,Астроном,хутір Зборів,"узвіз Пересипський узвіз, буд. 39 кв. 88, Куп'янськ, 76897",659 46 55,nikoliukanzhela@example.org
Корж,Геннадій,Анатолійович,Чоловіча,06.12.1972,Фермер,хутір Ладижин,"парк Восьмого березня 2-й, буд. 07 кв. 424, Іршава, 05881",094 617-76-43,fedir49@example.com
Бабич,Прохір,Петрович,Чоловіча,03.04.1959,Флорист,місто Трускавець,"узвіз Дюківський сад, буд. 0, Білогірськ, 69185",651-32-49,arkadiishchors@example.net
Лаба,Вадим,Олегович,Чоловіча,22.11.1977,Клоун,хутір Часів Яр,"парк Кавказький, буд. 296 кв. 064, Борзна, 33252",379-34-62,iarynateslenko@example.net
Онуфрієнко,Веніямин,Анатолійович,Чоловіча,23.11.1954,Професор,місто Лутугине,"провулок Нафтовиків 1-й, буд. 22, Великі Мости, 87756",021 476 05 72,oryna86@example.com
Швачко,Миколай,Вікторович,Чоловіча,30.08.1954,Електромонтажник,місто Канів,"вулиця Профспілкова, буд. 526, Слов'янськ, 81271",+380 91 658-21-40,povsiienko@example.net
Вернигора,Миколай,Олегович,Чоловіча,12.04.1996,Модельєр,село Біла Церква,"вулиця Братів Поджіо, буд. 59, Шепетівка, 02441",417-49-10,devdiukeduard@example.org
Джус,Валентин,Олексійович,Чоловіча,11.07.1963,Електрослюсар,місто Ківерці,"шосе Тролейбусна, буд. 60, Старий Крим, 65199",+380 08 880-75-05,ostapchmil@example.org
Деряжний,Олесь,Іванович,Чоловіча,23.03.1964,Фермер,місто Кодима,"узвіз Декабристів, буд. 54 кв. 2, Новгород-Сіверський, 86190",+380 47 928 43 74,ukolisnychenko@example.net
Шило,Орхип,Іванович,Чоловіча,11.11.1978,Будник,місто Івано-Франківськ,"набережна Шишкіна 3-й, буд. 123 кв. 7, Курахове, 75051",097-80-09,ievtushokmarko@example.com
Єщенко,Станіслав,Петрович,Чоловіча,05.03.1958,Бібліограф,селище Новий Буг,"площа Восьмого березня 5-й, буд. 63, Бобровиця, 11302",841-21-57,nestorshmorhun@example.com
Василевич,Альберт,Анатолійович,Чоловіча,11.04.2000,Менеджер,місто Городня,"провулок Леха Качинського, буд. 044 кв. 3, Новоазовськ, 07767",+380 96 549 85 09,viktoriiaiesypenko@example.com
Власенко,Віталій,Іванович,Чоловіча,10.01.1977,Краєзнавець,місто Київ,"площа Академіка Вільямса, буд. 265 кв. 9, Добромиль, 76608",+380 99 250-35-87,vbashtan@example.com
Дзиндра,Лукʼян,Петрович,Чоловіча,11.06.2008,Астроном,місто Овруч,"провулок Кордонний, буд. 585 кв. 21, Заставна, 83584",+380 07 107-55-96,opanas47@example.net
Охримович,Олександр,Вікторович,Чоловіча,07.05.1940,Музичний редактор,село Амвросіївка,"проспект Красних Зорь, буд. 7, Снігурівка, 25302",371-49-81,shmorhuniaroslav@example.org
Гречаник,Юстим,Олегович,Чоловіча,22.07.1984,Астрофізик,хутір Красногорівка,"провулок Літня, буд. 24, Збараж, 24201",088 917-38-18,oleksandrkharchenko@example.net
Мамчур,Едуард,Олегович,Чоловіча,02.06.1992,Патологоанатом,селище Борислав,"сквер Літературна, буд. 681 кв. 2, Глобине, 55534",+380 (65) 430-46-72,dmytro88@example.com
Сиротенко,Остап,Юрійович,Чоловіча,17.05.1953,Музичний редактор,селище Синельникове,"парк Горизонтальна, буд. 584, Корець, 06768",090 888-43-55,ruslandankevych@example.net
Чумак,Назар,Петрович,Чоловіча,26.07.1948,Доцент,селище Амвросіївка,"набережна Шишкіна 2-й, буд. 1, Світловодськ, 52758",867-06-30,viacheslavazhazha@example.com
Кабаненко,Спас,Юрійович,Чоловіча,31.10.1950,Ювелір,хутір Джанкой,"сквер Хімічна, буд. 3 кв. 8, Жидачів, 36917",023 033-80-14,zizhakevych@example.org
Кальченко,Тарас,Вікторович,Чоловіча,15.07.1955,Правник,місто Дубляни,"проспект Олександра Невського, буд. 5, Дніпро , 55520",014 409-86-67,klavdiia72@example.com
Ільєнко,Герман,Анатолійович,Чоловіча,13.10.1946,Ювелір,село Тячів,"площа Кипарисний 2-й, буд. 34, Сєвєродонецьк, 85097",+380 20 822 33 88,xshcherbak@example.net
Щорс,Захар,Анатолійович,Чоловіча,04.01.1975,Художник,хутір Чистякове,"шосе Басейна, буд. 9, Добромиль, 21786",+380 70 683-01-96,levkolysenko@example.com
Дутка,Франц,Олексійович,Чоловіча,03.05.1994,Педагог,хутір Бунге ,"проспект 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 8, Деражня, 01028",+380 45 342-99-24,roman80@example.org
Андріїшин,Роман,Анатолійович,Чоловіча,05.09.2001,Головний меркшейдер,селище Бобринець,"вулиця Демократична, буд. 9 кв. 583, Володимир-Волинський, 98738",057 675 79 03,ivan70@example.com
Слюсар,Руслан,Юрійович,Чоловіча,17.05.1970,Музикант,хутір Володимир-Волинський,"набережна Ямська, буд. 297, Мукачево, 79958",+380 85 999 72 65,hennadii83@example.net
Баштан,Пармен,Юрійович,Чоловіча,30.11.1951,Медик,село Новодністровськ,"проспект Чорноморський 7-й, буд. 24, Новодружеськ, 07513",013 047-04-12,markozhuravel@example.net
Цюцюра,Данило,Юрійович,Чоловіча,13.12.1984,Мовознавець,хутір Оріхів,"шосе Хаджибейський 2-й, буд. 04 кв. 2, Комарно, 67466",023 175 26 96,bohuslava35@example.org
Фурс,Яків,Петрович,Чоловіча,29.01.1949,Продюсер,село Костопіль,"вулиця Хімічна, буд. 1, Стрий, 41976",+380 61 215-54-12,avreliiprytula@example.com
Демʼянюк,Леопольд,Іванович,Чоловіча,13.05.1992,Продюсер,село Мена ,"площа Воронцовський, буд. 4, Луганськ, 57926",+380 45 219-28-96,boleslav89@example.com
Карась,Віталій,Олегович,Чоловіча,24.08.1985,Реабілітолог,місто Олевськ,"узвіз Гена Іоганна, буд. 79, Василівка , 03198",484 53 73,boryslav12@example.net
Демʼянюк,Ярема,Юрійович,Чоловіча,28.10.1941,Модель,хутір Золоте,"узвіз Бітумна, буд. 5, Стебник, 20442",049 828 38 23,bohuslav29@example.net
Ажажа,Ярема,Іванович,Чоловіча,15.04.1946,Біолог,село Рівне,"набережна Новомосковська дорога, буд. 639 кв. 33, Червоносів, 90656",993-67-24,msymonenko@example.com
Приймак,Альберт,Іванович,Чоловіча,30.06.1981,Круп'є,хутір Бар,"парк Лінія 44-та, буд. 3, Берислав, 46940",465 82 82,ulytvynenko@example.com
Матвієнко,Борислав,Олександрович,Чоловіча,07.10.1986,Золотар,селище Богодухів,"вулиця Новиков міст, буд. 3, Виноградів, 85402",031 894-08-00,kostiantyn65@example.org
Оробець,Аркадій,Іванович,Чоловіча,24.12.1997,Дерун,село Устилуг,"провулок Проектний 5-й, буд. 0, Ніжин, 33143",+380 98 122-07-03,shabliiirena@example.org
